,name,cupping,Body,Brightness,Clean Cup,Complexity,Dry Fragrance,Finish,Flavor,Sweetness,Uniformity,Wet Aroma
46,Colombia Veredas Vecinas,"{'Body': '9', 'Brightness': '8.4', 'Clean Cup': '8.5', 'Complexity': '8', 'Dry Fragrance': '8.5', 'Finish': '8.5', 'Flavor': '8.5', 'Sweetness': '8.7', 'Uniformity': '8.3', 'Wet Aroma': '8.7'}",9.0,8.4,8.5,8.0,8.5,8.5,8.5,8.7,8.3,8.7
47,Congo Organic Kirumba Kavisa,"{'Body': '9', 'Brightness': '8.8', 'Clean Cup': '8.3', 'Complexity': '9', 'Dry Fragrance': '8.8', 'Finish': '8.6', 'Flavor': '9', 'Sweetness': '8.7', 'Uniformity': '8.8', 'Wet Aroma': '9'}",9.0,8.8,8.3,9.0,8.8,8.6,9.0,8.7,8.8,9.0
48,Costa Rica Cerro Alto La Rosa,"{'Body': '8', 'Brightness': '8.4', 'Clean Cup': '8.5', 'Complexity': '8', 'Dry Fragrance': '8.2', 'Finish': '8.3', 'Flavor': '8.4', 'Sweetness': '8.4', 'Uniformity': '9', 'Wet Aroma': '8.3'}",8.0,8.4,8.5,8.0,8.2,8.3,8.4,8.4,9.0,8.3
49,Costa Rica Chirripo Corazon de Jesus,"{'Body': '8.9', 'Brightness': '8.4', 'Clean Cup': '8.3', 'Complexity': '7.5', 'Dry Fragrance': '8.3', 'Finish': '8', 'Flavor': '8.6', 'Sweetness': '8.4', 'Uniformity': '8.5', 'Wet Aroma': '8.5'}",8.9,8.4,8.3,7.5,8.3,8.0,8.6,8.4,8.5,8.5
50,Costa Rica Don Senel El Jocote,"{'Body': '8.9', 'Brightness': '8.5', 'Clean Cup': '8.5', 'Complexity': '8.5', 'Dry Fragrance': '8.6', 'Finish': '8.5', 'Flavor': '8.7', 'Sweetness': '8.6', 'Uniformity': '9', 'Wet Aroma': '8.7'}",8.9,8.5,8.5,8.5,8.6,8.5,8.7,8.6,9.0,8.7
51,Costa Rica Helsar Cascara Coffee Fruit Tea,,,,,,,,,,,
52,Costa Rica Helsar SWP Decaf,"{'Body': '8.8', 'Brightness': '8.2', 'Clean Cup': '8', 'Complexity': '8.5', 'Dry Fragrance': '8.3', 'Finish': '8', 'Flavor': '8.7', 'Sweetness': '8.3', 'Uniformity': '9.5', 'Wet Aroma': '8.5'}",8.8,8.2,8.0,8.5,8.3,8.0,8.7,8.3,9.5,8.5
53,Costa Rica Honey Corazon de Jesus,"{'Body': '9.2', 'Brightness': '8.6', 'Clean Cup': '8.5', 'Complexity': '8.8', 'Dry Fragrance': '8.6', 'Finish': '8.5', 'Flavor': '8.8', 'Sweetness': '8.5', 'Uniformity': '8.3', 'Wet Aroma': '8.8'}",9.2,8.6,8.5,8.8,8.6,8.5,8.8,8.5,8.3,8.8
54,Costa Rica Honey Palmichal Vecindario,"{'Body': '10', 'Brightness': '8', 'Clean Cup': '8.2', 'Complexity': '8', 'Dry Fragrance': '8.2', 'Finish': '8.2', 'Flavor': '8.5', 'Sweetness': '8.4', 'Uniformity': '8.2', 'Wet Aroma': '8.5'}",10.0,8.0,8.2,8.0,8.2,8.2,8.5,8.4,8.2,8.5
55,Costa Rica Honey Process Finca Salaca,"{'Body': '8.9', 'Brightness': '8.4', 'Clean Cup': '8.3', 'Complexity': '7.5', 'Dry Fragrance': '8.3', 'Finish': '8', 'Flavor': '8.6', 'Sweetness': '8.4', 'Uniformity': '8.5', 'Wet Aroma': '8.5'}",8.9,8.4,8.3,7.5,8.3,8.0,8.6,8.4,8.5,8.5
56,Costa Rica Honey Process Las Anonas,"{'Body': '9.4', 'Brightness': '8.5', 'Clean Cup': '8.2', 'Complexity': '9', 'Dry Fragrance': '8.5', 'Finish': '8.2', 'Flavor': '8.8', 'Sweetness': '8.7', 'Uniformity': '8.3', 'Wet Aroma': '8.7'}",9.4,8.5,8.2,9.0,8.5,8.2,8.8,8.7,8.3,8.7
57,Costa Rica La Pradera SWP Decaf,"{'Body': '8.3', 'Brightness': '8.1', 'Clean Cup': '8.5', 'Complexity': '7.5', 'Dry Fragrance': '7.6', 'Finish': '7.9', 'Flavor': '8.3', 'Sweetness': '7.8', 'Uniformity': '10', 'Wet Aroma': '8.3'}",8.3,8.1,8.5,7.5,7.6,7.9,8.3,7.8,10.0,8.3
58,Costa Rica Palmichal Rio Jorco,"{'Body': '9', 'Brightness': '8.3', 'Clean Cup': '8.2', 'Complexity': '8.1', 'Dry Fragrance': '8.3', 'Finish': '8.4', 'Flavor': '8.6', 'Sweetness': '8.6', 'Uniformity': '9', 'Wet Aroma': '8.5'}",9.0,8.3,8.2,8.1,8.3,8.4,8.6,8.6,9.0,8.5
59,Costa Rica Red Honey Los Santos,"{'Body': '9', 'Brightness': '8.5', 'Clean Cup': '8.5', 'Complexity': '8.5', 'Dry Fragrance': '8.4', 'Finish': '8.5', 'Flavor': '8.7', 'Sweetness': '8.7', 'Uniformity': '8.5', 'Wet Aroma': '8.6'}",9.0,8.5,8.5,8.5,8.4,8.5,8.7,8.7,8.5,8.6
60,Costa Rica Tarrazu Cafetales de Dota,"{'Body': '8.9', 'Brightness': '8', 'Clean Cup': '8.5', 'Complexity': '7.5', 'Dry Fragrance': '8.2', 'Finish': '8.2', 'Flavor': '8.3', 'Sweetness': '8.2', 'Uniformity': '9', 'Wet Aroma': '8.5'}",8.9,8.0,8.5,7.5,8.2,8.2,8.3,8.2,9.0,8.5
61,Costa Rica Yellow Honey La Guaria,"{'Body': '9.3', 'Brightness': '8.5', 'Clean Cup': '8.5', 'Complexity': '8.3', 'Dry Fragrance': '8.5', 'Finish': '8.3', 'Flavor': '8.6', 'Sweetness': '8.5', 'Uniformity': '8.5', 'Wet Aroma': '8.6'}",9.3,8.5,8.5,8.3,8.5,8.3,8.6,8.5,8.5,8.6
62,Costa Rica Zarcero Finca Salaca,"{'Body': '9', 'Brightness': '8.3', 'Clean Cup': '8.5', 'Complexity': '8.5', 'Dry Fragrance': '8.3', 'Finish': '8.5', 'Flavor': '8.6', 'Sweetness': '8.5', 'Uniformity': '8.5', 'Wet Aroma': '8.6'}",9.0,8.3,8.5,8.5,8.3,8.5,8.6,8.5,8.5,8.6
63,El Salvador Apaneca Finca Miravalle,"{'Body': '9', 'Brightness': '8.3', 'Clean Cup': '8.5', 'Complexity': '7.8', 'Dry Fragrance': '8.3', 'Finish': '8.3', 'Flavor': '8.5', 'Sweetness': '8.3', 'Uniformity': '8.5', 'Wet Aroma': '8.5'}",9.0,8.3,8.5,7.8,8.3,8.3,8.5,8.3,8.5,8.5
64,El Salvador Comasagua San Antonio,"{'Body': '8.8', 'Brightness': '8.3', 'Clean Cup': '8.3', 'Complexity': '7.8', 'Dry Fragrance': '8.2', 'Finish': '8.2', 'Flavor': '8.3', 'Sweetness': '8.3', 'Uniformity': '8.3', 'Wet Aroma': '8.5'}",8.8,8.3,8.3,7.8,8.2,8.2,8.3,8.3,8.3,8.5
65,El Salvador Dry Process Finca San Luis,"{'Body': '9', 'Brightness': '8.2', 'Clean Cup': '7', 'Complexity': '9.5', 'Dry Fragrance': '8.6', 'Finish': '8.5', 'Flavor': '8.7', 'Sweetness': '8.7', 'Uniformity': '8', 'Wet Aroma': '8.8'}",9.0,8.2,7.0,9.5,8.6,8.5,8.7,8.7,8.0,8.8
66,El Salvador Finca La Esperanza,"{'Body': '9', 'Brightness': '8.2', 'Clean Cup': '8.5', 'Complexity': '7.5', 'Dry Fragrance': '8', 'Finish': '8.2', 'Flavor': '8.5', 'Sweetness': '8.2', 'Uniformity': '9', 'Wet Aroma': '8.4'}",9.0,8.2,8.5,7.5,8.0,8.2,8.5,8.2,9.0,8.4
