,name,flavors
32,Colombia Inzá Las Estrellas,"{'Berry': '2', 'Body': '4.5', 'Caramel': '1', 'Citrus': '1.5', 'Cocoa': '3.5', 'Floral': '0', 'Fruits': '2', 'Honey': '3', 'Nuts': '0', 'Rustic': '0', 'Spice': '0', 'Sugars': '2.5'}"
33,Colombia Inzá Rafael Rivas,"{'Berry': '0', 'Body': '4', 'Caramel': '3', 'Citrus': '0.5', 'Cocoa': '4', 'Floral': '0', 'Fruits': '1', 'Honey': '1.5', 'Nuts': '2', 'Rustic': '0', 'Spice': '0', 'Sugars': '2'}"
34,Colombia Inzá Rio Paez,"{'Berry': '1', 'Body': '4', 'Caramel': '1', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '1', 'Honey': '0', 'Nuts': '2', 'Rustic': '0.5', 'Spice': '0', 'Sugars': '3'}"
35,Colombia Inzá Rio Páez,"{'Berry': '2', 'Body': '4', 'Caramel': '0', 'Citrus': '0', 'Cocoa': '3.5', 'Floral': '0', 'Fruits': '1.5', 'Honey': '2', 'Nuts': '1.5', 'Rustic': '0', 'Spice': '0', 'Sugars': '3.5'}"
36,Colombia Inzá Vereda Guanacas,"{'Berry': '0', 'Body': '4.5', 'Caramel': '2.5', 'Citrus': '0', 'Cocoa': '3', 'Floral': '0', 'Fruits': '1.5', 'Honey': '3', 'Nuts': '0', 'Rustic': '0', 'Spice': '0', 'Sugars': '3.5'}"
37,Colombia Inzá Vereda San Antonio,"{'Berry': '1.5', 'Body': '4', 'Caramel': '3', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '1.5', 'Honey': '1.5', 'Nuts': '1', 'Rustic': '0', 'Spice': '0', 'Sugars': '4'}"
38,Colombia Inzá Veredas Vecinas,"{'Berry': '1.5', 'Body': '3.5', 'Caramel': '2', 'Citrus': '0', 'Cocoa': '3.5', 'Floral': '0', 'Fruits': '1.5', 'Honey': '0', 'Nuts': '0.5', 'Rustic': '0', 'Spice': '0', 'Sugars': '3'}"
39,Colombia Nariño Rio Juanambú,"{'Berry': '0', 'Body': '3.5', 'Caramel': '2', 'Citrus': '0', 'Cocoa': '3.5', 'Floral': '0', 'Fruits': '1', 'Honey': '1', 'Nuts': '1.5', 'Rustic': '0', 'Spice': '1', 'Sugars': '3.5'}"
40,Colombia Nariño Vereda Pompeya,"{'Berry': '1', 'Body': '3.5', 'Caramel': '3', 'Citrus': '0', 'Cocoa': '3', 'Floral': '0', 'Fruits': '1', 'Honey': '1.5', 'Nuts': '0.5', 'Rustic': '0', 'Spice': '0', 'Sugars': '3'}"
41,Colombia Pavón Finca Los Palomos,"{'Berry': '2.5', 'Body': '4.5', 'Caramel': '0', 'Citrus': '0', 'Cocoa': '3', 'Floral': '1', 'Fruits': '2.5', 'Honey': '0', 'Nuts': '0', 'Rustic': '0', 'Spice': '2', 'Sugars': '3.5'}"
42,Colombia Rio Chiquito Don Luis,"{'Berry': '0', 'Body': '3.5', 'Caramel': '3', 'Citrus': '0', 'Cocoa': '3.5', 'Floral': '0', 'Fruits': '1.5', 'Honey': '0', 'Nuts': '1.5', 'Rustic': '0.5', 'Spice': '0', 'Sugars': '3.5'}"
43,Colombia Tolima China Alta,"{'Berry': '2', 'Body': '4.5', 'Caramel': '2', 'Citrus': '1.5', 'Cocoa': '4', 'Floral': '0', 'Fruits': '2.5', 'Honey': '0', 'Nuts': '0', 'Rustic': '0', 'Spice': '1', 'Sugars': '3.5'}"
44,Colombia Urrao Heirloom Caturra,"{'Berry': '1', 'Body': '3.5', 'Caramel': '0', 'Citrus': '2.5', 'Cocoa': '3', 'Floral': '2.5', 'Fruits': '2.5', 'Honey': '0', 'Nuts': '0', 'Rustic': '0', 'Spice': '2.5', 'Sugars': '3.5'}"
45,Colombia Vereda San Antonio,"{'Berry': '1', 'Body': '4', 'Caramel': '3', 'Citrus': '1', 'Cocoa': '4', 'Floral': '1', 'Fruits': '1.5', 'Honey': '1.5', 'Nuts': '1.5', 'Rustic': '0', 'Spice': '1', 'Sugars': '3'}"
46,Colombia Veredas Vecinas,"{'Berry': '0', 'Body': '4', 'Caramel': '1.5', 'Citrus': '0', 'Cocoa': '3.5', 'Floral': '0', 'Fruits': '0.5', 'Honey': '2.5', 'Nuts': '1.5', 'Rustic': '0', 'Spice': '0', 'Sugars': '3.5'}"
47,Congo Organic Kirumba Kavisa,"{'Berry': '2', 'Body': '4', 'Caramel': '3', 'Citrus': '2.5', 'Cocoa': '2.5', 'Floral': '0', 'Fruits': '2.5', 'Honey': '0', 'Nuts': '0', 'Rustic': '1', 'Spice': '1.5', 'Sugars': '3'}"
48,Costa Rica Cerro Alto La Rosa,"{'Berry': '0', 'Body': '3', 'Caramel': '2.5', 'Citrus': '0', 'Cocoa': '3', 'Floral': '0', 'Fruits': '0', 'Honey': '0', 'Nuts': '2', 'Rustic': '0', 'Spice': '1', 'Sugars': '2.5'}"
49,Costa Rica Chirripo Corazon de Jesus,"{'Berry': '0', 'Body': '4', 'Caramel': '3', 'Citrus': '0.5', 'Cocoa': '4', 'Floral': '0', 'Fruits': '0.5', 'Honey': '0', 'Nuts': '2', 'Rustic': '0.5', 'Spice': '0', 'Sugars': '2'}"
50,Costa Rica Don Senel El Jocote,"{'Berry': '1', 'Body': '4', 'Caramel': '0', 'Citrus': '0', 'Cocoa': '3', 'Floral': '0', 'Fruits': '2', 'Honey': '0', 'Nuts': '0', 'Rustic': '0', 'Spice': '0', 'Sugars': '3.5'}"
51,Costa Rica Helsar Cascara Coffee Fruit Tea,
52,Costa Rica Helsar SWP Decaf,"{'Berry': '0', 'Body': '4', 'Caramel': '1.5', 'Citrus': '0', 'Cocoa': '3.5', 'Floral': '0', 'Fruits': '1', 'Honey': '0', 'Nuts': '2', 'Rustic': '0', 'Spice': '0', 'Sugars': '2.5'}"
53,Costa Rica Honey Corazon de Jesus,"{'Berry': '2', 'Body': '4', 'Caramel': '3', 'Citrus': '0', 'Cocoa': '3.5', 'Floral': '0', 'Fruits': '2.5', 'Honey': '0', 'Nuts': '0', 'Rustic': '0', 'Spice': '0', 'Sugars': '3'}"
54,Costa Rica Honey Palmichal Vecindario,"{'Berry': '0', 'Body': '5.0', 'Caramel': '2.5', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '0', 'Honey': '0', 'Nuts': '0', 'Rustic': '1', 'Spice': '0', 'Sugars': '3'}"
55,Costa Rica Honey Process Finca Salaca,"{'Berry': '0', 'Body': '4', 'Caramel': '3', 'Citrus': '0.5', 'Cocoa': '4', 'Floral': '0', 'Fruits': '0.5', 'Honey': '0', 'Nuts': '2', 'Rustic': '0.5', 'Spice': '0', 'Sugars': '2'}"
56,Costa Rica Honey Process Las Anonas,"{'Berry': '1.5', 'Body': '4', 'Caramel': '0', 'Citrus': '0', 'Cocoa': '3', 'Floral': '0', 'Fruits': '3', 'Honey': '0', 'Nuts': '0', 'Rustic': '1', 'Spice': '0', 'Sugars': '3'}"
57,Costa Rica La Pradera SWP Decaf,"{'Berry': '0', 'Body': '3.5', 'Caramel': '1', 'Citrus': '0', 'Cocoa': '3', 'Floral': '0', 'Fruits': '0', 'Honey': '1', 'Nuts': '2', 'Rustic': '0', 'Spice': '0', 'Sugars': '2.5'}"
